Comment: 
Version: 2.3 [3.0.8263]
File Name: C:\Users\Algiz 8X\Desktop\230621_toma5\cavendish\PSR-1100f_SN22A44H3_00037.sed
Instrument: PSR-1100f_22A44H3
Detectors: 512,0,0
Measurement: REFLECTANCE
Date: 06/21/2023,06/21/2023
Time: 10:49:25.71,11:02:16.86
Temperature (C): 29.04,31.29
Battery Voltage: 8.27,8.20
Averages: 10,10
Integration: 23,100
Dark Mode: AUTO,AUTO
Foreoptic: FIBER1 {RADIANCE},FIBER1 {RADIANCE}
Radiometric Calibration: RADIANCE
Units: W/m^2/sr/nm
Wavelength Range: 320,1100
Latitude: n/a
Longitude: n/a
Altitude: n/a
UTC Time: n/a
Satellites: n/a
Calibrated Reference Correction File: Sticker
Channels: 781
Columns [2]:
Data:
Wvl	Reflect. %
320.0	5.5093
321.0	5.1217
322.0	5.6154
323.0	6.5410
324.0	6.6815
325.0	6.1388
326.0	5.5745
327.0	6.4759
328.0	8.0085
329.0	9.7189
330.0	10.8750
331.0	11.0712
332.0	10.5653
333.0	9.9249
334.0	9.9023
335.0	9.8876
336.0	8.9924
337.0	9.0899
338.0	9.1209
339.0	7.6210
340.0	5.9055
341.0	4.6448
342.0	4.7489
343.0	4.6706
344.0	4.3415
345.0	3.6752
346.0	2.5007
347.0	1.8929
348.0	2.6697
349.0	3.5416
350.0	4.1583
351.0	4.1900
352.0	3.7009
353.0	3.0361
354.0	2.4665
355.0	1.8848
356.0	1.2392
357.0	0.5473
358.0	0.1259
359.0	0.1737
360.0	0.7221
361.0	1.1151
362.0	1.3181
363.0	1.2927
364.0	1.1586
365.0	1.0141
366.0	0.9035
367.0	0.6961
368.0	0.7031
369.0	0.9680
370.0	1.2501
371.0	1.8479
372.0	2.6447
373.0	2.8963
374.0	3.0108
375.0	3.0157
376.0	2.6653
377.0	2.3002
378.0	2.0114
379.0	1.8360
380.0	1.6503
381.0	1.4992
382.0	1.7489
383.0	1.7941
384.0	1.6429
385.0	1.9770
386.0	2.1006
387.0	2.0211
388.0	1.9535
389.0	2.0755
390.0	2.2179
391.0	1.9274
392.0	1.6243
393.0	1.4314
394.0	1.5614
395.0	1.5602
396.0	1.4869
397.0	1.5846
398.0	1.7810
399.0	1.8809
400.0	1.4132
401.0	1.0543
402.0	0.8375
403.0	0.6662
404.0	0.6035
405.0	0.6985
406.0	1.0885
407.0	1.3651
408.0	1.4827
409.0	1.4248
410.0	1.4042
411.0	1.3928
412.0	1.2444
413.0	1.2624
414.0	1.3983
415.0	1.4803
416.0	1.5195
417.0	1.4946
418.0	1.3368
419.0	1.3032
420.0	1.3613
421.0	1.3909
422.0	1.2980
423.0	1.1488
424.0	1.1107
425.0	1.1770
426.0	1.2907
427.0	1.3487
428.0	1.1474
429.0	0.8948
430.0	1.1593
431.0	1.1836
432.0	1.0798
433.0	1.3240
434.0	1.2376
435.0	0.9902
436.0	1.1451
437.0	1.1764
438.0	1.1240
439.0	1.1977
440.0	1.2753
441.0	1.3048
442.0	1.1783
443.0	1.0983
444.0	1.1030
445.0	1.2604
446.0	1.2215
447.0	1.0791
448.0	1.2442
449.0	1.2773
450.0	1.1732
451.0	1.3610
452.0	1.3437
453.0	1.1177
454.0	1.1320
455.0	1.2052
456.0	1.2742
457.0	1.2036
458.0	1.1288
459.0	1.0997
460.0	1.2294
461.0	1.2381
462.0	1.0623
463.0	1.0404
464.0	1.1173
465.0	1.2604
466.0	1.2581
467.0	1.2182
468.0	1.1831
469.0	1.1718
470.0	1.1980
471.0	1.2615
472.0	1.2676
473.0	1.2390
474.0	1.1885
475.0	1.0976
476.0	1.0808
477.0	1.2218
478.0	1.1798
479.0	1.1609
480.0	1.3120
481.0	1.3049
482.0	1.2355
483.0	1.2273
484.0	1.2591
485.0	1.2832
486.0	1.2324
487.0	1.2150
488.0	1.2395
